#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00010607 100 1	6	7	name      71           -0.040689741	0.180770	 
0x00010608 100 1	6	8	name      72           -0.037158351	0.164900	 
0x00010609 100 1	6	9	name      73           -0.055115217	0.161759	 
0x0001060a 100 1	6	10	name    74             -0.196001169	0.164142	 
0x0001060b 100 1	6	11	name    75             0	0.000000		 
0x0001060c 100 1	6	12	name    76             -0.011897289	0.173507	 
0x0001060d 100 1	6	13	name    77             0.20392814	0.175921	 
0x0001060e 100 1	6	14	name    78             -0.195807967	0.175302	 
0x0001060f 100 1	6	15	name    79             0.251140231	0.168593	 

0x00010700 100 1	7	0	name      80            0	1.000000	
0x00010701 100 1	7	1	name      81            0	1.000000	
0x00010702 100 1	7	2	name      82            0	1.000000	
0x00010703 100 1	7	3	name      83            0	1.000000	
0x00010704 100 1	7	4	name      84            0	1.000000	
0x00010705 100 1	7	5	name      85            0	1.000000	
0x00010706 100 1	7	6	name      86            0	1.000000	
0x00010707 100 1	7	7	name      87            0	1.000000	
0x00010708 100 1	7	8	name      88            0	1.000000	
0x00010709 100 1	7	9	name	    89          0	1.000000	
0x0001070a 100 1	7	10	name    90              0	1.000000	
0x0001070b 100 1	7	11	name    91              0	1.000000	
0x0001070c 100 1	7	12	name    92              0	1.000000	
0x0001070d 100 1	7	13	name    93              0	1.000000	
0x0001070e 100 1	7	14	name    94              0	1.000000	
0x0001070f 100 1	7	15	name    95              0	1.000000	

0x00010800 100 1	8	0	name      96            0	1.000000	
0x00010801 100 1	8	1	name      97            0	1.000000	
0x00010802 100 1	8	2	name      98            0	1.000000	
0x00010803 100 1	8	3	name      99            0	1.000000	
0x00010804 100 1	8	4	name      100           0	1.000000	
0x00010805 100 1	8	5	name      101           0	1.000000	
0x00010806 100 1	8	6	name      102           0	1.000000	
0x00010807 100 1	8	7	name      103           0	1.000000	
0x00010808 100 1	8	8	name      104           0	1.000000	
0x00010809 100 1	8	9	name      105           0	1.000000	
0x0001080a 100 1	8	10	name    106             0	1.000000	
0x0001080b 100 1	8	11	name    107             0	1.000000	
0x0001080c 100 1	8	12	name    108             0	1.000000	
0x0001080d 100 1	8	13	name    109             0	1.000000	
0x0001080e 100 1	8	14	name    110             0	1.000000	
0x0001080f 100 1	8	15	name    111             0	1.000000	

0x00010900 100 1	9	0	name      112           0	1.000000	
0x00010901 100 1	9	1	name      113           0	1.000000	
0x00010902 100 1	9	2	name      114           0	1.000000	
0x00010903 100 1	9	3	name      115           0	1.000000	
0x00010904 100 1	9	4	name      116           0	1.000000	
0x00010905 100 1	9	5	name      117           0	1.000000	
0x00010906 100 1	9	6	name      118           0	1.000000	
0x00010907 100 1	9	7	name      119           0	1.000000	
0x00010908 100 1	9	8	name      120           0	1.000000	
0x00010909 100 1	9	9	name      121           0	1.000000	
0x0001090a 100 1	9	10	name    122             0	1.000000	
0x0001090b 100 1	9	11	name    123             0	1.000000	
0x0001090c 100 1	9	12	name    124             0	1.000000	
0x0001090d 100 1	9	13	name    125             0	1.000000	
0x0001090e 100 1	9	14	name    126             0	1.000000	
0x0001090f 100 1	9	15	name    127             0	1.000000	

0x00010a00 100 1	10	0	name    128             0	1.000000	
0x00010a01 100 1	10	1	name    129             0	1.000000	
0x00010a02 100 1	10	2	name    130             0	1.000000	
0x00010a03 100 1	10	3	name    131             0	1.000000	
0x00010a04 100 1	10	4	name    132             0	1.000000	
0x00010a05 100 1	10	5	name    133             0	1.000000	
0x00010a06 100 1	10	6	name    134             0	1.000000	
0x00010a07 100 1	10	7	name    135             0	1.000000	
0x00010a08 100 1	10	8	name    136             0	1.000000	
0x00010a09 100 1	10	9	name    137             0	1.000000	
0x00010a0a 100 1	10	10	name	138             0	1.000000	
0x00010a0b 100 1	10	11	name	139             0	1.000000	
0x00010a0c 100 1	10	12	name	140             0	1.000000	
0x00010a0d 100 1	10	13	name	141             0	1.000000	
0x00010a0e 100 1	10	14	name	142             0	1.000000	
0x00010a0f 100 1	10	15	name	143             0	1.000000	

0x00010b00 100 1	11	0	name    144             0	1.000000	
